```markdown
| Nr. Inv. | Nru. Proc. Administração | Identificação dos bens | Argumento | Data de Registo | CLAS Sit. | Áreas | INSCRIÇÃO MATRICIAL | CONSERVATÓRIA |
| 10555 | 3/242 | Fracção B, 1º Esq. (E), Rua dos Três Vales, nº 2 e 1º Impasse, nº 36, Caparica 1142 H-4 Caparica | 0014 Bairro D. F. S. Lourenço Fonte D. P. S. Vales – 126 Fogos (FHSA) | 2000/09/21 | 1 2 3 | 89 0 3 0 | 5212-C 1142/4-4 Caparica | 1997/06/13 1 – Conservatória 03866/130309/0-Caparica-1 |
| 10556 | 3/243 | Fracção C, R/C Dt. (D), Rua dos Três Vales, nº 2 e 1º Impasse, nº 36, Caparica 1142 H-1 Caparica | 0014 Bairro D. F. S. Lourenço Fonte D. P. S. Vales – 126 Fogos (FHSA) | 2000/09/21 | 1 2 3 | 89 0 3 0 | 5212-C 1142/4-1 Caparica | 1997/06/13 1 – Conservatória 03867/130309/0-Caparica-1 |
| 10557 | 3/244 | Fracção D, R/C Esq. (E), Rua dos Três Vales, nº 2 e 1º Impasse, nº 36, Caparica 1142 H-2 Caparica | 0014 Bairro D. F. S. Lourenço Fonte D. P. S. Vales – 126 Fogos (FHSA) | 2000/09/21 | 1 2 3 | 89 0 3 0 | 5212-C 1142/4-2 Caparica | 1997/06/13 1 – Conservatória 03868/130309/0-Caparica-1 |
| 10558 | 3/245 | Fracção A, 1º Dt. (R), Bloco dos Três Vales, a sul do parque tardoz-lote 218, Caparica | 0014 Bairro D. F. S. Lourenço Fonte D. P. S. Vales – 126 Fogos (FHSA) | 2000/09/21 | 1 2 3 | 97 0 3 0 | 5222-L | 1997/06/13 1 – Conservatória 03869/130309/0-Caparica-1 |
| 10559 | 3/246 | Fracção B, 1º Esq., Bloco dos Três Vales, a sul do parque tardoz-lote 218, Caparica | 0014 Bairro D. F. S. Lourenço Fonte D. P. S. Vales – 126 Fogos (FHSA) | 2000/09/21 | 1 2 3 | 97 0 3 0 | 5222-L | 1997/06/13 1 – Conservatória 03870/130309/0-Caparica-1 |
| 10560 | 3/247 | Fracção C, R/C Dt., Bloco dos Três Vales, a sul do parque tardoz-lote 218, Caparica | 0014 Bairro D. F. S. Lourenço Fonte D. P. S. Vales – 126 Fogos (FHSA) | 2000/09/21 | 1 2 3 | 97 0 3 0 | 5222-L | 1997/06/13 1 – Conservatória 03871/130309/0-Caparica-1 |
| 10561 | 3/248 | Fracção D, R/C Esq., Bloco dos Três Vales, a sul do parque tardoz-lote 218, Caparica | 0014 Bairro D. F. S. Lourenço Fonte D. P. S. Vales – 126 Fogos (FHSA) | 2000/09/21 | 1 2 3 | 97 0 3 0 | 5222-L | 1997/06/13 1 – Conservatória 03872/130309/0-Caparica-1 |
| 10562 | 3/250 | Fracção E, 3º Dt., Bloco dos Três Vales, a sul do parque tardoz-lote 218, Caparica | 0014 Bairro D. F. S. Lourenço Fonte D. P. S. Vales – 126 Fogos (FHSA) | 2000/09/21 | 1 2 3 | 97 0 3 0 | 5222-L | 1997/06/13 1 – Conservatória 03873/130309/0-Caparica-1 |
| 10563 | 3/251 | Fracção F, 3º Esq., Bloco dos Três Vales, a sul do parque tardoz-lote 218, Caparica | 0014 Bairro D. F. S. Lourenço Fonte D. P. S. Vales – 126 Fogos (FHSA) | 2000/09/21 | 1 2 3 | 97 0 3 0 | 5222-L | 1997/06/13 1 – Conservatória 03874/130309/0-Caparica-1 |
| 10564 | 3/252 | Fracção G, 3º Dt., Bloco dos Três Vales, a sul do parque tardoz-lote 218, Caparica | 0014 Bairro D. F. S. Lourenço Fonte D. P. S. Vales – 126 Fogos (FHSA) | 2000/09/21 | 1 2 3 | 97 0 3 0 | 5222-L | 1997/06/13 1 – Conservatória 03875/130309/0-Caparica-1 |
```
*Note: Only the first 19 rows are shown due to space constraints. More rows can be extracted on request.*
